event_time,date,time,symbol,direction,option_symbol,entry_time,entry_premium,current_premium,pnl_pct,pnl_rs,lot_size,sl_premium,t1_premium,t2_premium,event_type,hold_minutes,notes
2026-05-29 12:15,2026-05-29,12:15,HAVELLS,PUT,HAVELLS26JUN1210PE,2026-05-29 09:15,30.9,34.0,10.0,1550.0,500,20.1,46.3,55.6,UPDATE,180,OPEN (+10.0%)
2026-05-29 12:15,2026-05-29,12:15,CONCOR,PUT,CONCOR26JUN475PE,2026-05-29 09:15,15.1,14.35,-5.0,-938.0,1250,9.8,22.6,27.2,UPDATE,180,OPEN (-5.0%)
2026-05-29 12:15,2026-05-29,12:15,TITAN,PUT,TITAN26JUN4150PE,2026-05-29 09:15,90.05,102.4,13.7,2161.0,175,58.5,135.1,162.1,UPDATE,180,OPEN (+13.7%)
2026-05-29 12:15,2026-05-29,12:15,DMART,PUT,DMART26JUN4150PE,2026-05-29 09:15,103.05,104.75,1.6,255.0,150,67.0,154.6,185.5,UPDATE,180,OPEN (+1.6%)
2026-05-29 12:15,2026-05-29,12:15,BAJAJFINSV,CALL,BAJAJFINSV26JUN1800CE,2026-05-29 09:15,55.85,51.75,-7.3,-1025.0,250,36.3,83.8,100.5,UPDATE,180,OPEN (-7.3%)
2026-05-29 12:15,2026-05-29,12:15,PETRONET,CALL,PETRONET26JUN277.5CE,2026-05-29 09:15,9.85,8.9,-9.6,-1805.0,1900,6.4,14.8,17.7,UPDATE,180,OPEN (-9.6%)
2026-05-29 12:15,2026-05-29,12:15,NTPC,CALL,NTPC26JUN397.5CE,2026-05-29 09:15,9.35,7.4,-20.9,-2925.0,1500,6.1,14.0,16.8,UPDATE,180,OPEN (-20.9%)
2026-05-29 12:15,2026-05-29,12:15,JUBLFOOD,PUT,JUBLFOOD26JUN430PE,2026-05-29 09:15,14.3,11.9,-16.8,-3000.0,1250,9.3,21.5,25.7,UPDATE,180,OPEN (-16.8%)
2026-05-29 12:15,2026-05-29,12:15,ICICIGI,CALL,ICICIGI26JUN1820CE,2026-05-29 09:15,65.65,64.35,-2.0,-423.0,325,42.7,98.5,118.2,UPDATE,180,OPEN (-2.0%)
2026-05-29 12:15,2026-05-29,12:15,BSE,CALL,BSE26JUN4200CE,2026-05-29 09:15,173.0,176.6,2.1,1350.0,375,112.5,259.5,311.4,UPDATE,180,OPEN (+2.1%)
2026-05-29 12:15,2026-05-29,12:15,MAZDOCK,PUT,MAZDOCK26JUN2480PE,2026-05-29 09:15,91.15,89.9,-1.4,-250.0,200,59.2,136.7,164.1,UPDATE,180,OPEN (-1.4%)
2026-05-29 12:15,2026-05-29,12:15,ONGC,PUT,ONGC26JUN272.5PE,2026-05-29 09:15,7.0,8.75,25.0,3938.0,2250,4.5,10.5,12.6,UPDATE,180,OPEN (+25.0%)
2026-05-29 12:15,2026-05-29,12:15,INFY,PUT,INFY26JUN1200PE,2026-05-29 09:15,32.75,35.6,8.7,1140.0,400,21.3,49.1,59.0,UPDATE,180,OPEN (+8.7%)
2026-05-29 12:15,2026-05-29,12:15,LTM,PUT,LTM26JUN4150PE,2026-05-29 09:15,155.25,154.0,-0.8,-188.0,150,100.9,232.9,279.4,UPDATE,180,OPEN (-0.8%)
2026-05-29 12:15,2026-05-29,12:15,TVSMOTOR,PUT,TVSMOTOR26JUN3420PE,2026-05-29 09:15,86.9,84.9,-2.3,-350.0,175,56.5,130.4,156.4,UPDATE,180,OPEN (-2.3%)
2026-05-29 12:15,2026-05-29,12:15,BEL,PUT,BEL26JUN415PE,2026-05-29 09:15,9.55,9.9,3.7,499.0,1425,6.2,14.3,17.2,UPDATE,180,OPEN (+3.7%)
2026-05-29 12:30,2026-05-29,12:30,INDUSINDBK,CALL,INDUSINDBK26JUN930CE,2026-05-26 09:15,33.3,28.7,-13.8,-3220.0,700,21.6,49.9,59.9,UPDATE,4515,OPEN (-13.8%)
